Site,Sample,Specimen a,Specimen b,Mass a (kg),Mass b (kg),Mass a (g),Mass b (g),Notes,,Total Missing,,0,11
PF18,1,Y,N,0.005760,N/A,5.76,N/A,,,,,,
PF18,2,Y,Y,0.007390,0.007870,7.39,7.87,,,,,,
PF18,3,Y,N,0.005810,N/A,5.81,N/A,,,,,,
PF18,4,Y,Y,0.006450,0.004360,6.45,4.36,,,,,,
PF18,5,Y,Y,0.011690,0.015550,11.69,15.55,,,,,,
PF18,6,Y,Y,0.016480,0.014380,16.48,14.38,,,,,,
PF18,7,Y,Y,0.014450,0.014810,14.45,14.81,,,,,,
PF18,8,Y,Y,0.017510,0.010350,17.51,10.35,,,,,,
PF18,9,Y,Y,0.012330,0.013610,12.33,13.61,,,,,,
PF18,10,Y,Y,0.013880,0.014220,13.88,14.22,,,,,,
PF18,11,Y,Y,0.007920,0.007720,7.92,7.72,,,,,,
PF18,12,Y,Y,0.004440,0.004000,4.44,4,,,,,,
PF18,13,Y,Y,0.011310,0.009200,11.31,9.2,,,,,,
PF18,14,Y,Y,0.005670,0.007500,5.67,7.5,,,,,,
PF18,15,Y,Y,0.008680,0.012850,8.68,12.85,,,,,,
PF18,16,Y,Y,0.011600,0.008440,11.6,8.44,,,,,,
PF18,17,Y,Y,0.009340,0.009900,9.34,9.9,,,,,,
PF18,18,Y,Y,0.011810,0.009500,11.81,9.5,,,,,,
PF18,19,Y,Y,0.006330,0.007410,6.33,7.41,,,,,,
PF18,20,Y,Y,0.006200,0.007900,6.2,7.9,,,,,,
PF18,21,Y,Y,0.007900,N/A,7.9,N/A,,,,,,
PF18,22,Y,Y,0.008030,0.005510,8.03,5.51,,,,,,
PF18,23,Y,Y,0.010620,0.007700,10.62,7.7,,,,,,
PF18,24,Y,Y,0.012090,0.003510,12.09,3.51,,,,,,
PF18,25,Y,Y,0.011670,0.010450,11.67,10.45,,,,,,
PF18,26,Y,Y,0.014030,0.010060,14.03,10.06,,,,,,
PF18,27,Y,Y,0.009790,0.013070,9.79,13.07,,,,,,
PF18,28,Y,Y,0.003820,0.006260,3.82,6.26,,,,,,
PF18,29,Y,Y,0.004940,0.004830,4.94,4.83,,,,,,
PF18,30,Y,Y,0.006740,0.008390,6.74,8.39,,,,,,
PF18,31,Y,Y,0.010610,0.004430,10.61,4.43,,,,,,
PF18,32,Y,Y,0.014310,0.007310,14.31,7.31,,,,,,
PF18,33,Y,N,0.005380,N/A,5.38,N/A,,,,,,
PF18,34,Y,Y,0.008560,0.007600,8.56,7.6,,,,,,
PF18,35,Y,Y,0.009270,0.010480,9.27,10.48,,,,,,
PF18,36,Y,N,0.012790,N/A,12.79,N/A,,,,,,
PF18,37,Y,Y,0.008620,0.008540,8.62,8.54,,,,,,
PF18,38,Y,Y,0.011470,0.007540,11.47,7.54,,,,,,
PF18,39,Y,N,0.007310,N/A,7.31,N/A,,,,,,
PF18,40,Y,Y,0.008480,0.006130,8.48,6.13,,,,,,
PF18,41,Y,N,0.006670,N/A,6.67,N/A,,,,,,
PF18,42,Y,Y,0.005750,0.005320,5.75,5.32,,,,,,
PF18,43,Y,Y,0.013510,0.013820,13.51,13.82,,,,,,
PF18,44,Y,Y,0.012850,0.010540,12.85,10.54,,,,,,
PF18,45,Y,Y,0.012590,0.006840,12.59,6.84,,,,,,
PF18,46,Y,Y,0.013670,0.013080,13.67,13.08,,,,,,
PF18,47,Y,Y,0.010050,0.006650,10.05,6.65,,,,,,
PF18,48,Y,Y,0.007290,0.006220,7.29,6.22,,,,,,
PF18,49,Y,Y,0.006990,0.007010,6.99,7.01,,,,,,
PF18,50,Y,Y,0.012490,0.012200,12.49,12.2,,,,,,
PF18,51,Y,Y,0.010280,0.012120,10.28,12.12,,,,,,
PF18,52,Y,Y,0.010430,0.010110,10.43,10.11,,,,,,
PF18,53,Y,Y,0.008120,0.009050,8.12,9.05,,,,,,
PF18,54,Y,N,0.007230,N/A,7.23,N/A,,,,,,
PF18,55,Y,Y,0.014130,0.011250,14.13,11.25,,,,,,
PF18,56,Y,Y,0.008430,0.008910,8.43,8.91,,,,,,
PF18,57,Y,Y,0.009220,0.014150,9.22,14.15,,,,,,
PF18,58,Y,Y,0.012510,0.011540,12.51,11.54,,,,,,
PF18,59,Y,Y,0.013240,0.010650,13.24,10.65,,,,,,
PF18,60,Y,Y,0.014120,0.009680,14.12,9.68,,,,,,
PF18,61,Y,Y,0.011360,0.012140,11.36,12.14,,,,,,
PF18,62,Y,Y,0.007350,0.005930,7.35,5.93,,,,,,
PF18,63,Y,N,0.013370,N/A,13.37,N/A,,,,,,
PF18,64,Y,Y,0.013390,0.015080,13.39,15.08,,,,,,
