tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
PF18-1	PF18	105.9					33.6	0	81.4	311.5	-29	This study	SO-CMD-NORTH
PF18-2	PF18	105.78					83.6	0	81.4	311.5	-12	This study	SO-CMD-NORTH
PF18-3	PF18	105.65					-13.4	0	81.4	311.5	-12	This study	SO-CMD-NORTH
PF18-4	PF18	105.62					-22.4	0	81.4	311.5	-12	This study	SO-CMD-NORTH
PF18-5	PF18	105.4					176.6	0	81.4	311.5	-17	This study	SO-CMD-NORTH
PF18-6	PF18	105.35					-12.4	0	81.4	311.5	-5	This study	SO-CMD-NORTH
PF18-7	PF18	105.27					261.6	0	81.4	311.5	-10	This study	SO-CMD-NORTH
PF18-8	PF18	105.12					55.6	0	81.4	311.5	-27	This study	SO-CMD-NORTH
PF18-9	PF18	104.83					68.6	0	81.4	311.5	-25	This study	SO-CMD-NORTH
PF18-10	PF18	104.77					54.6	0	81.4	311.5	-33	This study	SO-CMD-NORTH
PF18-11	PF18	104.72					51.5	0	81.4	311.5	-31	This study	SO-CMD-NORTH
PF18-12	PF18	104.62					58.6	0	81.4	311.5	-41	This study	SO-CMD-NORTH
PF18-13	PF18	104.55					61.6	0	81.4	311.5	-45	This study	SO-CMD-NORTH
PF18-14	PF18	104.36					41.6	0	81.4	311.5	-26	This study	SO-CMD-NORTH
PF18-15	PF18	104.2					64.4	0	81.4	311.5	-19	This study	SO-CMD-NORTH
PF18-16	PF18	104.15					29.6	0	81.4	311.5	-34	This study	SO-CMD-NORTH
PF18-17	PF18	104.09					60.6	0	81.4	311.5	-11	This study	SO-CMD-NORTH
PF18-18	PF18	104.02					47.6	0	81.4	311.5	-25	This study	SO-CMD-NORTH
PF18-19	PF18	103.98					57.3	0	81.4	311.5	-27	This study	SO-CMD-NORTH
PF18-20	PF18	103.96					53.9	0	81.4	311.5	-29	This study	SO-CMD-NORTH
PF18-21	PF18	103.64					242.6	0	81.4	311.5	-35	This study	SO-CMD-NORTH
PF18-22	PF18	103.41					32.6	0	81.4	311.5	-19	This study	SO-CMD-NORTH
PF18-23	PF18	103.29					57.6	0	81.4	311.5	-29	This study	SO-CMD-NORTH
PF18-24	PF18	103.18					79.6	0	81.4	311.5	-39	This study	SO-CMD-NORTH
PF18-25	PF18	103.1					47.6	0	81.4	311.5	-21	This study	SO-CMD-NORTH
PF18-26	PF18	103.05					47.6	0	81.4	311.5	-20	This study	SO-CMD-NORTH
PF18-27	PF18	102.94					49.6	0	81.4	311.5	-23	This study	SO-CMD-NORTH
PF18-28	PF18	102.7					44.8	0	81.4	311.5	-16	This study	SO-CMD-NORTH
PF18-29	PF18	102.67					42.8	0	81.4	311.5	-19	This study	SO-CMD-NORTH
PF18-30	PF18	102.47					48.6	0	81.4	311.5	-10	This study	SO-CMD-NORTH
PF18-31	PF18	102.28					57.2	0	81.4	311.5	-28	This study	SO-CMD-NORTH
PF18-32	PF18	102.21					74.5	0	81.4	311.5	-27	This study	SO-CMD-NORTH
PF18-33	PF18	102.06					52.4	0	81.4	311.5	-30	This study	SO-CMD-NORTH
PF18-34	PF18	101.85					61.3	0	81.4	311.5	-25	This study	SO-CMD-NORTH
PF18-35	PF18	101.65					60.2	0	81.4	311.5	-25	This study	SO-CMD-NORTH
PF18-36	PF18	101.59					60.5	0	81.4	311.5	-21	This study	SO-CMD-NORTH
PF18-37	PF18	101.36					39.1	0	81.4	311.5	-33	This study	SO-CMD-NORTH
PF18-38	PF18	101.17					38.0	0	81.4	311.5	-26	This study	SO-CMD-NORTH
PF18-39	PF18	100.89					48.6	0	81.4	311.5	-30	This study	SO-CMD-NORTH
PF18-40	PF18	100.42					56.6	0	81.4	311.5	-31	This study	SO-CMD-NORTH
PF18-41	PF18	100.18					47.9	0	81.4	311.5	-28	This study	SO-CMD-NORTH
PF18-42	PF18	99.88					33.6	0	81.4	311.5	-24	This study	SO-CMD-NORTH
PF18-43	PF18	99.73					59.0	0	81.4	311.5	-21	This study	SO-CMD-NORTH
PF18-44	PF18	99.36					59.8	0	81.4	311.5	-23	This study	SO-CMD-NORTH
PF18-45	PF18	99.07					79.2	0	81.4	311.5	-28	This study	SO-CMD-NORTH
PF18-46	PF18	98.4					55.3	0	81.4	311.5	-22	This study	SO-CMD-NORTH
PF18-47	PF18	98.32					48.4	0	81.4	311.5	-28	This study	SO-CMD-NORTH
PF18-48	PF18	98.16					99.7	0	81.4	311.5	-32	This study	SO-CMD-NORTH
PF18-49	PF18	97.9					60.0	0	81.4	311.5	-24	This study	SO-CMD-NORTH
PF18-50	PF18	97.81					48.5	0	81.4	311.5	-30	This study	SO-CMD-NORTH
