tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
PF18-100a		PF18-100																	This study			1.35e-05		Northern Michigan	PF18
PF18-100a		PF18-100																	This study			1.3500000000000001e-05		Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		mt	300.3	61.0	3	4	-1	14.0	2.6	863	833	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		lt	96.1	76.0	3	5	-1	26.8	2.2	473	273	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		hct	326.1	71.0	3	9	-1	11.8	3.9	808	598	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		mt	218.7	52.1	3	4	0	14.0	2.6	863	833	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		lt	310.7	71.4	3	5	0	26.8	2.2	473	273	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		mt	270.7	6.5	3	4	100	14.0	2.6	863	833	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		lt	309.5	-10.5	3	5	100	26.8	2.2	473	273	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		hct	241.4	58.4	3	9	0	11.8	3.9	808	598	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-100a	PF18-100a_LP-DIR-T	PF18-100		hct	279.8	-4.5	3	9	100	11.8	3.9	808	598	K		hargrave 2021-05-30 16:05:33	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Northern Michigan	PF18
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		mt	222.7	35.1	3	6	-1	1.7	8.3	853	793	K		hargrave 2021-05-30 16:07:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		lt	181.7	72.3	3	4	-1	33.4	3.9	523	373	K		hargrave 2021-05-30 16:07:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		hct	240.3	44.5	3	7	-1	10.6	7.5	773	598	K		hargrave 2021-05-30 16:07:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Northern Michigan	PF18
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		mt	224.0	45.9	3	6	0	1.7	8.3	853	793	K		hargrave 2021-05-30 16:07:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		lt	187.9	88.2	3	4	0	33.4	3.9	523	373	K		hargrave 2021-05-30 16:07:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
PF18-101a	PF18-101a_LP-DIR-T	PF18-101		hct	247.8	50.5	3	7	0	10.6	7.5	773	598	K		hargrave 2021-05-30 16:07:07	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Northern Michigan	PF18
